id,type,name,creator,creator_qid,wikidata_url,local_qid
,Book,Perspective Made Easy,Ernest R. Norling,Q6335,,Q6334
,Book,The Language Instinct,Steven Pinker,Q6337,,Q6336
,Book,The Grand Design,Stephen Hawking,Q6339,,Q6338
,Book,Programming the Universe,Seth Lloyd,Q6341,,Q6340
,Book,The Unfolding of Language,Guy Deutscher,Q6343,,Q6342
,Book,The Holographic Universe,Michael Talbot,Q6345,,Q6344
,Book,A Brief History of Time,Stephen Hawking,Q6339,,Q6346
,Book,A Geography of Time,Robert Levine,Q6348,,Q6347
,Book,The Geography of Bliss,Eric Weiner,Q6350,,Q6349
,Book,"Through the Language
                            Glass",Guy Deutscher,Q6343,,Q6351
,Book,The World as I See It,Albert Einstein,Q6353,,Q6352
,Book,A Universe from Nothing,Lawrence M. Krauss,Q6355,,Q6354
,Book,The Half-Life of Facts,Samuel Arbesman,Q6357,,Q6356
,Book,The Singularity is Near,Ray Kurzweil,Q6359,,Q6358
,Book,The God of Small Things,Arundhati Roy,Q6361,,Q6360
,Book,The Alchemist,Paulo Coelho,Q6363,,Q6362
,Book,The Time Machine,H.G. Wells,Q6365,,Q6364
,Book,How to Create a Mind,Ray Kurzweil,Q6359,,Q6366
,Book,The Elements of Style,William Strunk Jr.,Q6368,,Q6367
,Book,Hands of My Father,Myron Uhlberg,Q6370,,Q6369
,Book,"Relativity: The Special and The General
                            Theory",Albert Einstein,Q6353,,Q6371
,Book,The Lights in the Tunnel,Martin Ford,Q6373,,Q6372
,Book,An Appetite for Wonder,Richard Dawkins,Q6375,,Q6374
,Book,Point of Vuth,VuThéara Kham,Q6377,,Q6376
,Book,The Fifth Mountain,Paulo Coelho,Q6363,,Q6378
,Book,The Long Tail,Chris Anderson,Q6380,,Q6379
,Book,Digital Fortress,Dan Brown,Q6382,,Q6381
,Book,Gitanjali,Rabindranath Tagore,Q6384,,Q6383
,Book,The Zahir,Paulo Coelho,Q6363,,Q6385
,Book,Angels and Demons,Dan Brown,Q6382,,Q6386
,Book,Who Moved My Cheese?,Spencer Johnson,Q6388,,Q6387
,Book,"Alice's Adventures in
                            Wonderland",Lewis Carroll,Q6390,,Q6389
,Book,Five Point Something,Chetan Bhagat,Q6392,,Q6391
,Book,The Cosmic Serpent,Jeremy Narby,Q6394,,Q6393
,Book,Stories from Tagore,Rabindranath Tagore,Q6384,,Q6395
,Book,The Da Vinci Code,Dan Brown,Q6382,,Q6396
,Book,Just So Stories,Rudyard Kipling,Q6398,,Q6397
,Book,The Gardener,Rabindranath Tagore,Q6384,,Q6399
,Book,"Harry Potter and the Philosopher's
                            Stone",J. K. Rowling,Q6401,,Q6400
,Book,"The Hungry Stones and other
                            stories",Rabindranath Tagore,Q6384,,Q6402
,Book,Apology,Plato,Q6404,,Q6403
,Book,Ion,Plato,Q6404,,Q6405
,Book,Color,Betty Edwards,Q6407,,Q6406
,Book,A Guide to Stoicism,St. George William Joseph Stock,Q6409,,Q6408
,Book,The Right to Read,Richard M. Stallman,Q6411,,Q6410
